simulation_time_s,obj_index,speed_mps,brake,pos_x,pos_y,pos_z
0.00,0,1.44,0.00,193.30,-119.95,0.30
1.00,0,0.23,0.00,193.30,-119.95,0.24
2.00,0,0.07,0.00,193.30,-119.95,0.23
3.00,0,0.09,0.00,193.30,-119.95,0.24
4.00,0,0.10,0.00,193.30,-119.94,0.25
5.00,0,0.25,0.00,193.30,-119.92,0.25
6.00,0,0.34,0.00,193.30,-119.89,0.25
7.00,0,0.54,0.00,193.30,-119.84,0.25
8.00,0,0.69,0.00,193.31,-119.77,0.25
9.00,0,0.68,0.00,193.31,-119.71,0.25
10.00,0,0.79,0.00,193.32,-119.63,0.25
11.00,0,0.88,0.00,193.32,-119.55,0.25
12.00,0,0.98,0.00,193.33,-119.46,0.25
13.00,0,1.01,0.00,193.34,-119.36,0.25
14.00,0,1.01,0.00,193.34,-119.26,0.25
15.00,0,0.99,0.00,193.35,-119.16,0.25
16.00,0,0.97,0.00,193.36,-119.06,0.25
17.00,0,0.94,0.00,193.37,-118.97,0.25
18.00,0,0.90,0.00,193.38,-118.88,0.25
19.00,0,0.88,0.00,193.38,-118.79,0.25
20.00,0,0.84,0.00,193.39,-118.70,0.25
21.00,0,0.81,0.00,193.40,-118.62,0.25
22.00,0,0.78,0.00,193.41,-118.54,0.25
23.00,0,0.76,0.00,193.41,-118.47,0.25
24.00,0,0.74,0.00,193.42,-118.39,0.25
25.00,0,0.74,0.00,193.43,-118.32,0.25
26.00,0,0.73,0.00,193.44,-118.25,0.25
27.00,0,0.73,0.00,193.44,-118.18,0.25
28.00,0,0.71,0.00,193.45,-118.10,0.25
29.00,0,0.73,0.00,193.46,-118.03,0.25
30.00,0,0.70,0.00,193.47,-117.96,0.25
31.00,0,0.61,0.00,193.49,-117.89,0.25
32.00,0,0.70,0.00,193.50,-117.83,0.25
33.00,0,0.75,0.00,193.51,-117.76,0.25
34.00,0,0.74,0.00,193.52,-117.68,0.25
35.00,0,0.71,0.00,193.52,-117.61,0.25
36.00,0,0.73,0.00,193.53,-117.54,0.25
37.00,0,0.73,0.00,193.54,-117.47,0.25
38.00,0,0.72,0.00,193.55,-117.40,0.25
39.00,0,0.72,0.00,193.56,-117.33,0.25
40.00,0,0.82,0.00,193.57,-117.25,0.25
41.00,0,0.89,0.00,193.58,-117.16,0.25
42.00,0,0.83,0.00,193.59,-117.08,0.25
43.00,0,0.83,0.00,193.60,-117.00,0.25
44.00,0,0.82,0.00,193.61,-116.92,0.25
45.00,0,0.82,0.00,193.63,-116.84,0.25
46.00,0,0.84,0.00,193.64,-116.76,0.25
47.00,0,0.81,0.00,193.65,-116.67,0.25
48.00,0,0.80,0.00,193.66,-116.59,0.25
49.00,0,0.80,0.00,193.67,-116.51,0.25
50.00,0,0.79,0.00,193.68,-116.43,0.25
51.00,0,0.81,0.00,193.69,-116.35,0.25
52.00,0,0.77,0.00,193.70,-116.28,0.25
53.00,0,0.76,0.00,193.70,-116.20,0.25
54.00,0,0.77,0.00,193.71,-116.12,0.25
55.00,0,0.80,0.00,193.71,-116.04,0.25
56.00,0,0.79,0.00,193.72,-115.96,0.25
57.00,0,0.81,0.00,193.73,-115.88,0.25
58.00,0,0.79,0.00,193.73,-115.80,0.25
59.00,0,0.81,0.00,193.74,-115.72,0.25
60.00,0,0.79,0.00,193.74,-115.64,0.25
61.00,0,0.81,0.00,193.75,-115.56,0.25
62.00,0,0.79,0.00,193.75,-115.48,0.25
63.00,0,0.81,0.00,193.75,-115.40,0.25
64.00,0,0.79,0.00,193.76,-115.32,0.25
65.00,0,0.81,0.00,193.76,-115.24,0.25
66.00,0,0.79,0.00,193.76,-115.16,0.25
67.00,0,0.81,0.00,193.77,-115.08,0.25
68.00,0,0.79,0.00,193.77,-115.00,0.25
69.00,0,0.81,0.00,193.77,-114.92,0.25
70.00,0,0.79,0.00,193.77,-114.84,0.25
71.00,0,0.81,0.00,193.77,-114.76,0.25
72.00,0,0.79,0.00,193.78,-114.68,0.25
73.00,0,0.81,0.00,193.78,-114.60,0.25
74.00,0,0.79,0.00,193.78,-114.52,0.25
75.00,0,0.81,0.00,193.78,-114.44,0.25
76.00,0,0.79,0.00,193.77,-114.36,0.25
77.00,0,0.81,0.00,193.77,-114.28,0.25
78.00,0,0.79,0.00,193.77,-114.20,0.25
79.00,0,0.81,0.00,193.77,-114.12,0.25
80.00,0,0.79,0.00,193.77,-114.04,0.25
81.00,0,0.81,0.00,193.76,-113.96,0.25
82.00,0,0.79,0.00,193.76,-113.88,0.25
83.00,0,0.81,0.00,193.76,-113.80,0.25
84.00,0,0.80,0.00,193.75,-113.72,0.25
85.00,0,0.78,0.00,193.74,-113.64,0.25
86.00,0,0.80,0.00,193.74,-113.56,0.25
87.00,0,0.78,0.00,193.73,-113.48,0.25
88.00,0,0.79,0.00,193.73,-113.40,0.25
89.00,0,0.79,0.00,193.72,-113.32,0.25
90.00,0,0.77,0.00,193.71,-113.25,0.25
91.00,0,0.77,0.00,193.70,-113.17,0.25
92.00,0,0.76,0.00,193.69,-113.09,0.25
93.00,0,0.76,0.00,193.68,-113.02,0.25
94.00,0,0.74,0.00,193.67,-112.94,0.25
95.00,0,0.77,0.00,193.66,-112.87,0.25
96.00,0,0.79,0.00,193.65,-112.79,0.25
97.00,0,0.78,0.00,193.64,-112.71,0.25
98.00,0,0.78,0.00,193.63,-112.64,0.25
99.00,0,0.77,0.00,193.62,-112.56,0.25
100.00,0,0.77,0.00,193.60,-112.48,0.25
101.00,0,0.85,0.00,193.59,-112.40,0.25
102.00,0,0.84,0.00,193.57,-112.32,0.25
103.00,0,0.83,0.00,193.56,-112.24,0.25
104.00,0,0.81,0.00,193.54,-112.16,0.25
105.00,0,0.80,0.00,193.52,-112.08,0.25
106.00,0,0.80,0.00,193.50,-112.00,0.25
107.00,0,0.78,0.00,193.48,-111.92,0.25
108.00,0,0.80,0.00,193.47,-111.85,0.25
109.00,0,0.79,0.00,193.45,-111.77,0.25
110.00,0,0.80,0.00,193.43,-111.69,0.25
111.00,0,0.77,0.00,193.40,-111.62,0.25
112.00,0,0.79,0.00,193.38,-111.54,0.25
113.00,0,0.79,0.00,193.36,-111.47,0.25
114.00,0,0.78,0.00,193.34,-111.39,0.25
115.00,0,0.80,0.00,193.31,-111.32,0.25
116.00,0,0.79,0.00,193.29,-111.24,0.25
117.00,0,0.78,0.00,193.27,-111.17,0.25
118.00,0,0.76,0.00,193.24,-111.10,0.25
119.00,0,0.78,0.00,193.21,-111.02,0.25
120.00,0,0.78,0.00,193.19,-110.95,0.25
121.00,0,0.77,0.00,193.16,-110.88,0.25
122.00,0,0.78,0.00,193.13,-110.81,0.25
123.00,0,0.79,0.00,193.10,-110.73,0.25
124.00,0,0.78,0.00,193.07,-110.66,0.25
125.00,0,0.78,0.00,193.04,-110.59,0.25
126.00,0,0.77,0.00,193.01,-110.52,0.25
127.00,0,0.79,0.00,192.98,-110.45,0.25
128.00,0,0.79,0.00,192.95,-110.37,0.25
129.00,0,0.78,0.00,192.92,-110.30,0.25
130.00,0,0.78,0.00,192.88,-110.23,0.25
131.00,0,0.78,0.00,192.85,-110.16,0.25
132.00,0,0.79,0.00,192.82,-110.09,0.25
133.00,0,0.80,0.00,192.78,-110.02,0.25
134.00,0,0.80,0.00,192.74,-109.95,0.25
135.00,0,0.79,0.00,192.71,-109.88,0.25
136.00,0,0.78,0.00,192.67,-109.81,0.25
137.00,0,0.77,0.00,192.63,-109.75,0.25
138.00,0,0.76,0.00,192.59,-109.68,0.25
139.00,0,0.80,0.00,192.55,-109.61,0.25
140.00,0,0.80,0.00,192.51,-109.54,0.25
141.00,0,0.80,0.00,192.47,-109.47,0.25
142.00,0,0.79,0.00,192.43,-109.41,0.25
143.00,0,0.78,0.00,192.39,-109.34,0.25
144.00,0,0.78,0.00,192.35,-109.28,0.25
145.00,0,0.77,0.00,192.30,-109.21,0.25
146.00,0,0.77,0.00,192.26,-109.15,0.25
147.00,0,0.76,0.00,192.22,-109.09,0.25
148.00,0,0.77,0.00,192.17,-109.02,0.25
149.00,0,0.77,0.00,192.13,-108.96,0.25
150.00,0,0.78,0.00,192.08,-108.90,0.25
151.00,0,0.82,0.00,192.04,-108.84,0.25
152.00,0,0.84,0.00,191.99,-108.77,0.25
153.00,0,0.84,0.00,191.94,-108.71,0.25
154.00,0,0.83,0.00,191.89,-108.64,0.25
155.00,0,0.82,0.00,191.83,-108.58,0.25
156.00,0,0.82,0.00,191.78,-108.52,0.25
157.00,0,0.80,0.00,191.73,-108.46,0.25
158.00,0,0.80,0.00,191.68,-108.40,0.25
159.00,0,0.80,0.00,191.63,-108.34,0.25
160.00,0,0.78,0.00,191.58,-108.28,0.25
161.00,0,0.79,0.00,191.53,-108.22,0.25
162.00,0,0.78,0.00,191.47,-108.17,0.25
163.00,0,0.78,0.00,191.42,-108.11,0.25
164.00,0,0.79,0.00,191.37,-108.06,0.25
165.00,0,0.79,0.00,191.31,-108.00,0.25
166.00,0,0.80,0.00,191.26,-107.95,0.25
167.00,0,0.79,0.00,191.20,-107.89,0.25
168.00,0,0.79,0.00,191.15,-107.84,0.25
169.00,0,0.79,0.00,191.09,-107.79,0.25
170.00,0,0.78,0.00,191.04,-107.73,0.25
171.00,0,0.79,0.00,190.98,-107.68,0.25
172.00,0,0.79,0.00,190.92,-107.63,0.25
173.00,0,0.79,0.00,190.86,-107.58,0.25
174.00,0,0.78,0.00,190.80,-107.53,0.25
175.00,0,0.80,0.00,190.75,-107.48,0.25
176.00,0,0.80,0.00,190.69,-107.43,0.25
177.00,0,0.79,0.00,190.63,-107.38,0.25
178.00,0,0.79,0.00,190.57,-107.33,0.25
179.00,0,0.80,0.00,190.50,-107.28,0.25
180.00,0,0.78,0.00,190.44,-107.23,0.25
181.00,0,0.79,0.00,190.38,-107.19,0.25
182.00,0,0.78,0.00,190.32,-107.14,0.25
183.00,0,0.79,0.00,190.26,-107.09,0.25
184.00,0,0.80,0.00,190.19,-107.05,0.25
185.00,0,0.80,0.00,190.13,-107.00,0.25
186.00,0,0.79,0.00,190.07,-106.96,0.25
187.00,0,0.79,0.00,190.00,-106.91,0.25
188.00,0,0.80,0.00,189.94,-106.87,0.25
189.00,0,0.79,0.00,189.87,-106.83,0.25
190.00,0,0.79,0.00,189.81,-106.79,0.25
191.00,0,0.79,0.00,189.74,-106.74,0.25
192.00,0,0.80,0.00,189.68,-106.70,0.25
193.00,0,0.78,0.00,189.61,-106.66,0.25
194.00,0,0.78,0.00,189.55,-106.62,0.25
