simulation_time_s,obj_index,speed_mps,brake,pos_x,pos_y,pos_z
0.00,0,0.23,0.00,11.64,-105.53,0.24
1.00,0,0.07,0.00,11.64,-105.53,0.23
2.00,0,0.09,0.00,11.63,-105.53,0.24
3.00,0,0.08,0.00,11.63,-105.53,0.25
4.00,0,0.13,0.00,11.62,-105.53,0.25
5.00,0,0.34,0.00,11.60,-105.53,0.25
6.00,0,0.44,0.00,11.56,-105.53,0.25
7.00,0,0.64,0.00,11.50,-105.53,0.25
8.00,0,0.69,0.00,11.44,-105.52,0.25
9.00,0,0.87,0.00,11.36,-105.53,0.25
10.00,0,0.94,0.00,11.27,-105.53,0.25
11.00,0,0.98,0.00,11.17,-105.54,0.25
12.00,0,1.00,0.00,11.08,-105.53,0.25
13.00,0,1.02,0.00,10.98,-105.52,0.25
14.00,0,1.00,0.00,10.88,-105.53,0.25
15.00,0,0.96,0.00,10.78,-105.53,0.25
16.00,0,0.93,0.00,10.69,-105.54,0.25
17.00,0,0.89,0.00,10.60,-105.53,0.25
18.00,0,0.86,0.00,10.51,-105.53,0.25
19.00,0,0.83,0.00,10.43,-105.53,0.25
20.00,0,0.78,0.00,10.35,-105.53,0.25
21.00,0,0.76,0.00,10.27,-105.54,0.25
22.00,0,0.70,0.00,10.20,-105.53,0.25
23.00,0,0.72,0.00,10.13,-105.53,0.25
24.00,0,0.73,0.00,10.05,-105.53,0.25
25.00,0,0.70,0.00,9.98,-105.54,0.25
26.00,0,0.73,0.00,9.91,-105.54,0.25
27.00,0,0.74,0.00,9.84,-105.53,0.25
28.00,0,0.77,0.00,9.77,-105.53,0.25
29.00,0,0.78,0.00,9.69,-105.53,0.25
30.00,0,0.80,0.00,9.61,-105.54,0.25
31.00,0,0.79,0.00,9.53,-105.54,0.25
32.00,0,0.77,0.00,9.46,-105.54,0.25
33.00,0,0.76,0.00,9.38,-105.53,0.25
34.00,0,0.78,0.00,9.30,-105.53,0.25
35.00,0,0.76,0.00,9.23,-105.54,0.25
36.00,0,0.83,0.00,9.15,-105.54,0.25
37.00,0,0.82,0.00,9.07,-105.54,0.25
38.00,0,0.80,0.00,8.99,-105.53,0.25
39.00,0,0.78,0.00,8.91,-105.53,0.25
40.00,0,0.76,0.00,8.83,-105.54,0.25
41.00,0,0.82,0.00,8.75,-105.54,0.25
42.00,0,0.75,0.00,8.67,-105.54,0.25
43.00,0,0.77,0.00,8.60,-105.53,0.25
44.00,0,0.77,0.00,8.52,-105.53,0.25
45.00,0,0.77,0.00,8.44,-105.54,0.25
46.00,0,0.78,0.00,8.37,-105.54,0.25
47.00,0,0.85,0.00,8.28,-105.54,0.25
48.00,0,0.83,0.00,8.20,-105.53,0.25
49.00,0,0.79,0.00,8.12,-105.54,0.25
50.00,0,0.79,0.00,8.04,-105.54,0.25
51.00,0,0.76,0.00,7.97,-105.54,0.25
52.00,0,0.78,0.00,7.89,-105.53,0.25
53.00,0,0.79,0.00,7.81,-105.54,0.25
54.00,0,0.79,0.00,7.74,-105.54,0.25
55.00,0,0.79,0.00,7.66,-105.54,0.25
56.00,0,0.77,0.00,7.58,-105.53,0.25
57.00,0,0.78,0.00,7.51,-105.54,0.25
58.00,0,0.78,0.00,7.43,-105.55,0.25
59.00,0,0.79,0.00,7.35,-105.55,0.25
60.00,0,0.81,0.00,7.27,-105.54,0.25
61.00,0,0.79,0.00,7.19,-105.53,0.25
62.00,0,0.78,0.00,7.11,-105.54,0.25
63.00,0,0.81,0.00,7.03,-105.55,0.25
64.00,0,0.79,0.00,6.95,-105.55,0.25
65.00,0,0.78,0.00,6.88,-105.54,0.25
66.00,0,0.80,0.00,6.80,-105.54,0.25
67.00,0,0.78,0.00,6.72,-105.54,0.25
68.00,0,0.78,0.00,6.64,-105.55,0.25
69.00,0,0.77,0.00,6.57,-105.55,0.25
70.00,0,0.79,0.00,6.49,-105.54,0.25
71.00,0,0.81,0.00,6.41,-105.54,0.25
72.00,0,0.80,0.00,6.33,-105.54,0.25
73.00,0,0.78,0.00,6.25,-105.55,0.25
74.00,0,0.79,0.00,6.17,-105.55,0.25
75.00,0,0.81,0.00,6.09,-105.54,0.25
