simulation_time_s,obj_index,speed_mps,brake,pos_x,pos_y,pos_z
0.00,0,1.44,0.00,193.30,-119.95,0.30
1.00,0,0.23,0.00,193.30,-119.95,0.24
2.00,0,0.07,0.00,193.30,-119.95,0.23
3.00,0,0.09,0.00,193.30,-119.94,0.24
4.00,0,0.10,0.00,193.30,-119.94,0.25
5.00,0,0.27,0.00,193.30,-119.92,0.25
6.00,0,0.40,0.00,193.30,-119.88,0.25
7.00,0,0.54,0.00,193.31,-119.84,0.25
8.00,0,0.66,0.00,193.31,-119.78,0.25
9.00,0,0.79,0.00,193.32,-119.70,0.25
10.00,0,0.80,0.00,193.32,-119.62,0.25
11.00,0,0.84,0.00,193.33,-119.54,0.25
12.00,0,0.94,0.00,193.33,-119.45,0.25
13.00,0,0.99,0.00,193.34,-119.36,0.25
14.00,0,0.99,0.00,193.35,-119.26,0.25
15.00,0,0.98,0.00,193.36,-119.16,0.25
16.00,0,0.95,0.00,193.36,-119.06,0.25
17.00,0,0.93,0.00,193.37,-118.97,0.25
18.00,0,0.90,0.00,193.38,-118.88,0.25
19.00,0,0.87,0.00,193.39,-118.79,0.25
20.00,0,0.83,0.00,193.40,-118.71,0.25
21.00,0,0.80,0.00,193.40,-118.63,0.25
22.00,0,0.77,0.00,193.41,-118.55,0.25
23.00,0,0.73,0.00,193.42,-118.47,0.25
24.00,0,0.75,0.00,193.43,-118.40,0.25
25.00,0,0.71,0.00,193.43,-118.33,0.25
26.00,0,0.73,0.00,193.44,-118.26,0.25
27.00,0,0.72,0.00,193.45,-118.18,0.25
28.00,0,0.76,0.00,193.46,-118.11,0.25
29.00,0,0.76,0.00,193.47,-118.04,0.25
30.00,0,0.76,0.00,193.48,-117.96,0.25
31.00,0,0.74,0.00,193.49,-117.89,0.25
32.00,0,0.73,0.00,193.51,-117.82,0.25
33.00,0,0.71,0.00,193.51,-117.75,0.25
34.00,0,0.69,0.00,193.52,-117.68,0.25
35.00,0,0.74,0.00,193.53,-117.61,0.25
36.00,0,0.71,0.00,193.54,-117.54,0.25
37.00,0,0.71,0.00,193.55,-117.47,0.25
38.00,0,0.74,0.00,193.56,-117.39,0.25
39.00,0,0.75,0.00,193.57,-117.32,0.25
40.00,0,0.77,0.00,193.58,-117.25,0.25
41.00,0,0.82,0.00,193.59,-117.17,0.25
42.00,0,0.86,0.00,193.60,-117.08,0.25
43.00,0,0.84,0.00,193.61,-117.00,0.25
44.00,0,0.83,0.00,193.62,-116.91,0.25
45.00,0,0.81,0.00,193.63,-116.83,0.25
46.00,0,0.80,0.00,193.65,-116.76,0.25
47.00,0,0.79,0.00,193.66,-116.68,0.25
48.00,0,0.78,0.00,193.67,-116.60,0.25
49.00,0,0.78,0.00,193.68,-116.52,0.25
50.00,0,0.77,0.00,193.69,-116.45,0.25
51.00,0,0.76,0.00,193.70,-116.37,0.25
52.00,0,0.74,0.00,193.71,-116.30,0.25
53.00,0,0.79,0.00,193.71,-116.22,0.25
54.00,0,0.78,0.00,193.71,-116.14,0.25
55.00,0,0.78,0.00,193.72,-116.06,0.25
56.00,0,0.78,0.00,193.73,-115.98,0.25
57.00,0,0.77,0.00,193.73,-115.91,0.25
58.00,0,0.78,0.00,193.74,-115.83,0.25
59.00,0,0.81,0.00,193.74,-115.75,0.25
60.00,0,0.80,0.00,193.75,-115.67,0.25
61.00,0,0.79,0.00,193.75,-115.59,0.25
62.00,0,0.79,0.00,193.76,-115.51,0.25
63.00,0,0.78,0.00,193.76,-115.43,0.25
64.00,0,0.78,0.00,193.76,-115.35,0.25
65.00,0,0.78,0.00,193.77,-115.27,0.25
66.00,0,0.78,0.00,193.77,-115.20,0.25
67.00,0,0.78,0.00,193.77,-115.12,0.25
68.00,0,0.81,0.00,193.78,-115.04,0.25
69.00,0,0.81,0.00,193.78,-114.96,0.25
70.00,0,0.81,0.00,193.78,-114.88,0.25
71.00,0,0.80,0.00,193.78,-114.80,0.25
72.00,0,0.79,0.00,193.78,-114.72,0.25
73.00,0,0.78,0.00,193.78,-114.64,0.25
74.00,0,0.77,0.00,193.78,-114.56,0.25
75.00,0,0.78,0.00,193.78,-114.49,0.25
76.00,0,0.77,0.00,193.78,-114.41,0.25
77.00,0,0.77,0.00,193.78,-114.33,0.25
78.00,0,0.76,0.00,193.78,-114.26,0.25
79.00,0,0.76,0.00,193.78,-114.18,0.25
80.00,0,0.76,0.00,193.77,-114.11,0.25
81.00,0,0.76,0.00,193.77,-114.03,0.25
82.00,0,0.81,0.00,193.77,-113.96,0.25
83.00,0,0.81,0.00,193.77,-113.88,0.25
84.00,0,0.80,0.00,193.76,-113.80,0.25
85.00,0,0.79,0.00,193.76,-113.72,0.25
86.00,0,0.78,0.00,193.75,-113.64,0.25
87.00,0,0.79,0.00,193.75,-113.56,0.25
88.00,0,0.79,0.00,193.74,-113.49,0.25
89.00,0,0.78,0.00,193.73,-113.41,0.25
90.00,0,0.78,0.00,193.72,-113.33,0.25
91.00,0,0.78,0.00,193.72,-113.25,0.25
92.00,0,0.77,0.00,193.71,-113.18,0.25
93.00,0,0.79,0.00,193.70,-113.10,0.25
94.00,0,0.79,0.00,193.69,-113.02,0.25
95.00,0,0.78,0.00,193.68,-112.94,0.25
96.00,0,0.77,0.00,193.67,-112.87,0.25
97.00,0,0.77,0.00,193.66,-112.79,0.25
98.00,0,0.77,0.00,193.65,-112.72,0.25
99.00,0,0.76,0.00,193.64,-112.64,0.25
100.00,0,0.77,0.00,193.62,-112.56,0.25
101.00,0,0.77,0.00,193.61,-112.49,0.25
102.00,0,0.79,0.00,193.60,-112.41,0.25
103.00,0,0.79,0.00,193.58,-112.33,0.25
104.00,0,0.79,0.00,193.57,-112.26,0.25
105.00,0,0.78,0.00,193.55,-112.18,0.25
106.00,0,0.78,0.00,193.53,-112.10,0.25
107.00,0,0.78,0.00,193.51,-112.03,0.25
108.00,0,0.79,0.00,193.50,-111.95,0.25
109.00,0,0.79,0.00,193.48,-111.87,0.25
110.00,0,0.79,0.00,193.46,-111.80,0.25
111.00,0,0.79,0.00,193.44,-111.72,0.25
112.00,0,0.78,0.00,193.42,-111.64,0.25
113.00,0,0.78,0.00,193.40,-111.57,0.25
114.00,0,0.77,0.00,193.38,-111.50,0.25
115.00,0,0.78,0.00,193.35,-111.42,0.25
116.00,0,0.80,0.00,193.33,-111.35,0.25
117.00,0,0.79,0.00,193.31,-111.27,0.25
118.00,0,0.79,0.00,193.28,-111.20,0.25
119.00,0,0.78,0.00,193.26,-111.12,0.25
120.00,0,0.78,0.00,193.23,-111.05,0.25
121.00,0,0.76,0.00,193.21,-110.98,0.25
122.00,0,0.78,0.00,193.18,-110.90,0.25
123.00,0,0.78,0.00,193.15,-110.83,0.25
124.00,0,0.80,0.00,193.12,-110.76,0.25
125.00,0,0.79,0.00,193.09,-110.68,0.25
126.00,0,0.79,0.00,193.06,-110.61,0.25
127.00,0,0.79,0.00,193.03,-110.54,0.25
128.00,0,0.83,0.00,193.00,-110.47,0.25
129.00,0,0.82,0.00,192.97,-110.39,0.25
130.00,0,0.81,0.00,192.93,-110.32,0.25
131.00,0,0.80,0.00,192.90,-110.25,0.25
132.00,0,0.79,0.00,192.87,-110.18,0.25
133.00,0,0.80,0.00,192.83,-110.11,0.25
134.00,0,0.79,0.00,192.80,-110.04,0.25
135.00,0,0.79,0.00,192.76,-109.97,0.25
136.00,0,0.79,0.00,192.72,-109.90,0.25
137.00,0,0.79,0.00,192.69,-109.83,0.25
138.00,0,0.79,0.00,192.65,-109.76,0.25
139.00,0,0.78,0.00,192.61,-109.69,0.25
140.00,0,0.80,0.00,192.57,-109.63,0.25
141.00,0,0.79,0.00,192.53,-109.56,0.25
142.00,0,0.80,0.00,192.49,-109.49,0.25
143.00,0,0.78,0.00,192.45,-109.43,0.25
144.00,0,0.79,0.00,192.41,-109.36,0.25
145.00,0,0.78,0.00,192.37,-109.30,0.25
146.00,0,0.80,0.00,192.33,-109.23,0.25
147.00,0,0.80,0.00,192.28,-109.17,0.25
148.00,0,0.79,0.00,192.24,-109.10,0.25
149.00,0,0.78,0.00,192.19,-109.04,0.25
150.00,0,0.79,0.00,192.15,-108.98,0.25
151.00,0,0.79,0.00,192.10,-108.92,0.25
152.00,0,0.79,0.00,192.06,-108.85,0.25
153.00,0,0.80,0.00,192.01,-108.79,0.25
154.00,0,0.78,0.00,191.96,-108.73,0.25
155.00,0,0.79,0.00,191.91,-108.67,0.25
156.00,0,0.79,0.00,191.86,-108.61,0.25
157.00,0,0.79,0.00,191.82,-108.55,0.25
158.00,0,0.77,0.00,191.77,-108.49,0.25
159.00,0,0.79,0.00,191.72,-108.43,0.25
160.00,0,0.80,0.00,191.67,-108.37,0.25
161.00,0,0.80,0.00,191.61,-108.31,0.25
162.00,0,0.80,0.00,191.56,-108.25,0.25
163.00,0,0.80,0.00,191.51,-108.20,0.25
164.00,0,0.79,0.00,191.45,-108.14,0.25
165.00,0,0.79,0.00,191.40,-108.08,0.25
166.00,0,0.78,0.00,191.35,-108.03,0.25
167.00,0,0.79,0.00,191.29,-107.97,0.25
168.00,0,0.80,0.00,191.24,-107.92,0.25
169.00,0,0.78,0.00,191.18,-107.86,0.25
170.00,0,0.78,0.00,191.13,-107.81,0.25
171.00,0,0.77,0.00,191.07,-107.76,0.25
172.00,0,0.79,0.00,191.01,-107.71,0.25
173.00,0,0.79,0.00,190.96,-107.66,0.25
174.00,0,0.79,0.00,190.90,-107.60,0.25
175.00,0,0.80,0.00,190.84,-107.55,0.25
176.00,0,0.79,0.00,190.78,-107.50,0.25
177.00,0,0.78,0.00,190.72,-107.45,0.25
178.00,0,0.77,0.00,190.66,-107.40,0.25
179.00,0,0.77,0.00,190.60,-107.35,0.25
180.00,0,0.77,0.00,190.54,-107.31,0.25
181.00,0,0.81,0.00,190.48,-107.26,0.25
182.00,0,0.82,0.00,190.42,-107.21,0.25
183.00,0,0.81,0.00,190.36,-107.16,0.25
184.00,0,0.81,0.00,190.29,-107.11,0.25
185.00,0,0.80,0.00,190.23,-107.07,0.25
186.00,0,0.78,0.00,190.17,-107.02,0.25
187.00,0,0.81,0.00,190.10,-106.98,0.25
188.00,0,0.80,0.00,190.04,-106.93,0.25
189.00,0,0.79,0.00,189.97,-106.89,0.25
190.00,0,0.79,0.00,189.91,-106.85,0.25
191.00,0,0.78,0.00,189.84,-106.80,0.25
192.00,0,0.80,0.00,189.78,-106.76,0.25
193.00,0,0.79,0.00,189.71,-106.72,0.25
194.00,0,0.79,0.00,189.65,-106.68,0.25
