simulation_time_s,obj_index,speed_mps,brake,pos_x,pos_y,pos_z
0.00,0,1.44,0.00,11.64,-105.53,0.30
1.00,0,0.23,0.00,11.64,-105.53,0.24
2.00,0,0.07,0.00,11.64,-105.53,0.23
3.00,0,0.09,0.00,11.63,-105.53,0.24
4.00,0,0.08,0.00,11.63,-105.53,0.25
5.00,0,0.21,0.00,11.61,-105.53,0.25
6.00,0,0.36,0.00,11.58,-105.53,0.25
7.00,0,0.45,0.00,11.54,-105.53,0.25
8.00,0,0.67,0.00,11.48,-105.52,0.25
9.00,0,0.79,0.00,11.41,-105.53,0.25
10.00,0,0.83,0.00,11.33,-105.53,0.25
11.00,0,0.89,0.00,11.24,-105.54,0.25
12.00,0,0.95,0.00,11.15,-105.53,0.25
13.00,0,1.00,0.00,11.05,-105.52,0.25
14.00,0,1.00,0.00,10.96,-105.53,0.25
15.00,0,0.97,0.00,10.86,-105.53,0.25
16.00,0,0.95,0.00,10.76,-105.54,0.25
17.00,0,0.91,0.00,10.67,-105.53,0.25
18.00,0,0.88,0.00,10.58,-105.53,0.25
19.00,0,0.86,0.00,10.50,-105.53,0.25
20.00,0,0.81,0.00,10.42,-105.53,0.25
21.00,0,0.78,0.00,10.34,-105.54,0.25
22.00,0,0.74,0.00,10.26,-105.53,0.25
23.00,0,0.74,0.00,10.19,-105.53,0.25
24.00,0,0.71,0.00,10.12,-105.53,0.25
25.00,0,0.70,0.00,10.05,-105.54,0.25
26.00,0,0.74,0.00,9.97,-105.54,0.25
27.00,0,0.73,0.00,9.90,-105.54,0.25
28.00,0,0.74,0.00,9.83,-105.53,0.25
29.00,0,0.79,0.00,9.75,-105.53,0.25
30.00,0,0.77,0.00,9.67,-105.54,0.25
31.00,0,0.81,0.00,9.60,-105.54,0.25
32.00,0,0.79,0.00,9.52,-105.54,0.25
33.00,0,0.80,0.00,9.44,-105.53,0.25
34.00,0,0.79,0.00,9.36,-105.53,0.25
35.00,0,0.77,0.00,9.28,-105.54,0.25
36.00,0,0.78,0.00,9.20,-105.54,0.25
37.00,0,0.77,0.00,9.12,-105.54,0.25
38.00,0,0.77,0.00,9.05,-105.53,0.25
39.00,0,0.77,0.00,8.97,-105.53,0.25
40.00,0,0.76,0.00,8.89,-105.54,0.25
41.00,0,0.79,0.00,8.82,-105.54,0.25
42.00,0,0.84,0.00,8.73,-105.54,0.25
43.00,0,0.83,0.00,8.65,-105.53,0.25
44.00,0,0.81,0.00,8.57,-105.53,0.25
45.00,0,0.81,0.00,8.49,-105.54,0.25
